239.9999999999997	-2.26634142866390588746777830623711029405784569`30.*^-322+8.00823272700183336858504055830231367451575584541`30.*^-338*I
248.71728063039228	-8.413969042828728992784068720316387333709874456561953`30.*^-334+2.9731187631549842352839966252887981620736320961445435022`30.*^-349*I
257.7511903507394	-1.2076270653147891039360426634778843917055`30.*^-345+4.2672116672943101385956466931068907750848387`30.*^-361*I
267.11322976367745	-6.4732495168465605853157365703569504477113930604`30.*^-358+2.287355646206434848197546457034046021144293008847096`30.*^-373*I
276.81531719676326	-1.250331830058979686328716396307274552958454388639136996`30.*^-370+4.418111125909844946541561995352629901097603256276855437415`30.*^-386*I
286.8698038750771	-8.3855636763139368094606833450664953829933`30.*^-384+2.96308158239884605051334632340946895044146113`30.*^-399*I
297.2894896449305	-1.8790919780928427251243636519154363601100174785`30.*^-397+6.6398670940243997376548262175799194883392561044553`30.*^-413*I
308.0876392686849	-1.351979836444589620893016295010030180735072523853154`30.*^-411+4.777289527308803163381181422408611177284143748396254117`30.*^-427*I
319.2779993114364	-2.996864423887980378275791248598437534446856037248542784`30.*^-426+1.0589572892340359060710985843591486310109`30.*^-441*I
330.87481564105343	-1.96089703127030605017425663486151254294`30.*^-441+6.92892941085108439875130238992871597632452458`30.*^-457*I
342.89285156385546	-3.62304274081889315068823706751247924540940906`30.*^-457+1.280220582891485733349532923241891141501110924924`30.*^-472*I
355.3474066190128	-1.80535549688913258879538020781779804092714916295`30.*^-473+6.379315486715333105864902716529927491548249592745`30.*^-489*I
368.25433605559687	-2.3133228143964267869261289614293429619671647328467`30.*^-490+8.17424384343139859288885040176571847655515358757455044`30.*^-506*I
381.6300710170787	-7.255297489918281881618229055509129509508512287948609`30.*^-508+2.5636962757703826717122212872416113910107935758894874207`30.*^-523*I
395.49163945896424	-5.2917732521944545907626800167917343541303146688835183`30.*^-526+1.86987499792031985891991991624732033721879087799702643618`30.*^-541*I
409.8566878262057	-8.5123174640061859273367665302046367891190422026009149`30.*^-545+3.00787067807658495355040883583153701037058639074180625911`30.*^-560*I
424.7435035179734	-2.8584545495009241144149039543748542642165994191709179`30.*^-564+1.010049456028158737151092770949475729243960369363558572984`30.*^-579*I
440.1710381684002	-1.892868387165425303059312356625456578997998789183717`30.*^-584+6.6885467362884787910629257885795888233083622468800628983`30.*^-600*I
456.15893177292185	-2.33015616525005007774662779799911961500115016491044`30.*^-605+8.23372534498545312450827503509469498223571255692270137`30.*^-621*I
472.7275376909418	-5.0160698825348125242455462604305215159816629375`30.*^-627+1.772453809747685664370860583862483230200264817724246`30.*^-642*I
489.8979485566353	-1.77226865661445313162903169094949449223925577`30.*^-649+6.262401453476758585268444231516465358101828912043`30.*^-665*I
507.69202313089346	-9.6240244473710638416039978269018652607961`30.*^-673+3.40069799590343334373453194622768734655254214`30.*^-688*I
526.1324141285759	-7.503831964916579493587817633857222899118512743589685998`30.*^-697+2.651517196806228361455880266635367174392`30.*^-712*I
545.2425970565123	-7.828414082031190368810296551474230913947461422873`30.*^-722+2.76620993903832759437728431558517979479224771466814243`30.*^-737*I
565.0469000989532	-1.0157395532187493428140132805797072568071241`30.*^-747+3.5891673819827201897289484140298039252200343563`30.*^-763*I
585.5705350885198	-1.519535975196945627414151731332721541847163643311764894`30.*^-774+5.369357667173208443276054526771030996515394589508239283501`30.*^-790*I
606.8396296020862	-2.4230873629890216504847553907833239781852841911`30.*^-802+8.5621024596073455810022015906869223731090504004361`30.*^-818*I
628.88126022244	-3.7969116511099614399951800154543391595030426073305682879`30.*^-831+1.3416580468142072658599948491998238784332`30.*^-846*I
651.7234870080822	-5.37389561449382894166335865403063759641261338`30.*^-861+1.8988933523953675014530978099190666104855981043947`30.*^-876*I
675.39538921503	-6.2952564892032685931807586144420216783454404772869407`30.*^-892+2.22446090443791474122980958451497467829784847796290283375`30.*^-907*I
699.9271023161168	-5.575679640054956184938565696161195937447`30.*^-924+1.9701947643029920132527799753946229993981747`30.*^-939*I
725.3498563648964	-3.399494057646668990365293715707227583929633201`30.*^-957+1.2012285185001385802018402741212925924370664009808`30.*^-972*I
751.6960157530121	-1.2946750462887377090132605254231894527957546896558`30.*^-991+4.5748001361976806634038454548282298564719200483506064`30.*^-1007*I
778.9991204116255	-2.7848906239902753239249197779742389619884544705895268`30.*^-1027+9.8405526872918633531918767950104223764504321336509789534`30.*^-1043*I
807.2939285093645	-3.04821146110254505084530737654023156748576137209159323`30.*^-1064+1.077101026036247357076242030989178200175555675496211952872`30.*^-1079*I
836.6164607011488	-1.523775624813124912290491350839101651678991982012014908`30.*^-1102+5.384338684763009006160809876423436669323450490251006025562`30.*^-1118*I
867.0040459842227	-3.1101882944312656963129840006650450874866086844132975`30.*^-1142+1.099000855369182464621252192368774354092581860123556661552`30.*^-1157*I
898.4953692197664	-2.30798271018010437226751516465340687526747271849914`30.*^-1183+8.15537431353185247364542876911423500095089684993471247`30.*^-1199*I
931.130520380587	-5.521090066589335635179301632459539955149677421`30.*^-1226+1.95090526082168384605815323731726130801750510285088`30.*^-1241*I
964.9510455875925	-3.7587112314918269580222133689084196744106`30.*^-1270+1.32815973421655521671495700202752697535096178`30.*^-1285*I
1000.	-6.4001553827986954983998001208747166396596805071291897`30.*^-1316+2.26152746211066684958843448621327315210976204653042387206`30.*^-1331*I
